	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
55	269.008000	268.757388	0.000000	254.000000	232.000000	0.000000	-2.042400	0.421800	718.807910	26421.501095	-10787.869467	147.008682	0	0	0	765.000000	232.000000	0.000000	0.360960	0.179360	4.737200	-32.394326	-301.757381	-279.295880
56	269.003220	269.429692	0.000000	254.000000	232.000000	0.000000	-1.909200	0.177600	717.486410	26855.295563	-10764.606239	173.674909	0	0	0	765.000000	232.000000	0.000000	0.496320	0.269040	2.550800	93.902734	-191.573816	-257.627236
57	269.056989	270.028437	0.000000	254.000000	232.000000	0.000000	-2.464200	-0.177600	719.777010	27371.994524	-10837.674355	36.005444	0	0	0	765.000000	232.000000	0.000000	0.360960	-0.156940	4.281700	-54.658087	-320.035480	-446.402159
58	269.394085	270.434940	0.000000	254.000000	232.000000	0.000000	-2.109000	-0.022200	721.891410	27745.852733	-11112.857521	102.605855	0	0	0	765.000000	232.000000	0.000000	0.473760	-0.201780	4.099500	-103.240713	-258.357930	-252.810416
59	269.327366	270.564430	0.000000	254.000000	232.000000	0.000000	-2.308800	0.088800	722.596210	27866.511204	-11075.496806	124.856941	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.470820	5.101600	-95.308472	-238.740303	-124.172006
60	269.552121	271.031219	0.000000	254.000000	232.000000	0.000000	-1.820400	0.577200	723.389110	28234.758533	-11250.235141	98.062398	0	0	0	765.000000	232.000000	0.000000	0.721920	-0.112100	2.641900	-61.666565	-322.720428	-177.320232
61	269.511904	271.159360	0.000000	254.000000	232.000000	0.000000	-2.286600	0.710400	724.622510	28375.753536	-11240.274632	75.908326	0	0	0	765.000000	232.000000	0.000000	0.654240	-0.313880	2.277500	-69.360217	-244.415640	-355.050444
62	269.751683	271.740665	0.000000	254.000000	232.000000	0.000000	-1.620600	1.243200	725.767810	28842.495589	-11432.064681	111.309153	0	0	0	765.000000	232.000000	0.000000	0.428640	-0.022420	3.644000	-58.571460	-284.290400	-279.506443
63	269.886457	271.890964	0.000000	254.000000	232.000000	0.000000	-2.131200	1.465200	723.741510	28870.746243	-11497.688500	102.490748	0	0	0	765.000000	232.000000	0.000000	0.315840	-0.022420	3.826200	-2.347392	-223.687346	-295.683384
64	270.131513	272.379882	0.000000	254.000000	232.000000	0.000000	-1.931400	2.020200	722.243810	29164.119792	-11650.885050	151.306385	0	0	0	765.000000	232.000000	0.000000	-0.067680	-0.313880	3.370700	-60.399793	-245.887298	-269.284305
65	270.048944	272.336479	0.000000	254.000000	232.000000	0.000000	-2.109000	2.086800	721.891410	29118.557698	-11585.594836	44.652133	0	0	0	765.000000	232.000000	0.000000	0.631680	-0.313880	3.461800	-144.876554	-160.273105	-279.769952
66	269.872069	272.747654	0.000000	254.000000	232.000000	0.000000	-2.042400	2.419800	720.393710	29354.353490	-11434.138524	182.408843	0	0	0	765.000000	232.000000	0.000000	0.360960	0.291460	2.733000	-64.797908	-393.468459	-203.875186
67	269.994818	272.669430	0.000000	254.000000	232.000000	0.000000	-2.397600	2.397600	720.569910	29305.167798	-11525.384722	146.912778	0	0	0	765.000000	232.000000	0.000000	0.293280	0.246620	3.826200	26.863154	-222.811431	-273.865308
68	270.251304	273.344058	0.000000	254.000000	232.000000	0.000000	-2.220000	2.242200	719.160310	29733.005451	-11687.292899	226.904133	0	0	0	765.000000	232.000000	0.000000	0.157920	-0.022420	3.735100	-39.841826	-302.104887	-241.966341
69	270.129558	273.640266	0.000000	254.000000	232.000000	0.000000	-2.775000	1.931400	718.367410	29913.010341	-11586.949090	240.361122	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.470820	3.644000	-319.923428	-70.575535	-301.517492
70	270.047367	274.180352	0.000000	254.000000	232.000000	0.000000	-2.797200	2.353200	715.988710	30200.655562	-11489.733357	253.666264	0	0	0	765.000000	232.000000	0.000000	0.315840	0.022420	5.101600	-29.245937	-253.401991	-263.363986
71	269.965913	274.533709	0.000000	254.000000	232.000000	0.000000	-2.819400	1.842600	714.755310	30401.194635	-11411.721401	329.276000	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.022420	2.459700	73.239273	-239.145013	-311.834200
72	270.069398	275.413613	0.000000	254.000000	232.000000	0.000000	-2.752800	1.487400	715.724410	31072.182337	-11501.260252	342.627761	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.201780	4.463900	93.649019	-209.773680	-295.946022
